date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2/16/2000,Kuwait,Yemen,2.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2/16/2000,Macau,Singapore,0.0,1.0,AFC Asian Cup qualification,Macau,Macau,False
2/18/2000,Kuwait,Nepal,5.0,0.0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
2/18/2000,Yemen,Bhutan,11.0,2.0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
2/20/2000,Macau,Japan,0.0,3.0,AFC Asian Cup qualification,Macau,Macau,False
2/20/2000,Singapore,Brunei,1.0,0.0,AFC Asian Cup qualification,Macau,Macau,True
3/25/2000,Malaysia,Chinese Taipei,3.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
3/25/2000,Thailand,North Korea,0.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
3/27/2000,Malaysia,North Korea,1.0,1.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
3/27/2000,Thailand,Chinese Taipei,2.0,0.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
3/29/2000,Malaysia,Thailand,3.0,2.0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
3/31/2000,Jordan,Kazakhstan,0.0,1.0,AFC Asian Cup qualification,Doha,Qatar,True
3/31/2000,Maldives,Iran,0.0,8.0,AFC Asian Cup qualification,Damascus,Syria,True
3/31/2000,Qatar,Palestine,1.0,0.0,AFC Asian Cup qualification,Doha,Qatar,False
3/31/2000,Syria,Bahrain,1.0,0.0,AFC Asian Cup qualification,Damascus,Syria,False
4/2/2000,Bahrain,Maldives,4.0,1.0,AFC Asian Cup qualification,Damascus,Syria,True
4/2/2000,Palestine,Pakistan,2.0,0.0,AFC Asian Cup qualification,Doha,Qatar,True
4/2/2000,Qatar,Kazakhstan,3.0,1.0,AFC Asian Cup qualification,Doha,Qatar,False
4/2/2000,Syria,Iran,0.0,1.0,AFC Asian Cup qualification,Damascus,Syria,False
4/4/2000,Bahrain,Iran,1.0,0.0,AFC Asian Cup qualification,Damascus,Syria,True
4/4/2000,Malaysia,Chinese Taipei,2.0,3.0,AFC Asian Cup qualification,Bangkok,Thailand,True
4/4/2000,Palestine,Jordan,1.0,5.0,AFC Asian Cup qualification,Doha,Qatar,True
4/4/2000,Qatar,Pakistan,5.0,0.0,AFC Asian Cup qualification,Doha,Qatar,False
4/4/2000,Syria,Maldives,2.0,1.0,AFC Asian Cup qualification,Damascus,Syria,False
4/4/2000,Thailand,North Korea,5.0,3.0,AFC Asian Cup qualification,Bangkok,Thailand,False
4/5/2000,Burma,Mongolia,2.0,0.0,AFC Asian Cup qualification,Seoul,South Korea,True
4/5/2000,South Korea,Laos,9.0,0.0,AFC Asian Cup qualification,Seoul,South Korea,False
4/6/2000,Kazakhstan,Palestine,2.0,0.0,AFC Asian Cup qualification,Doha,Qatar,True
4/6/2000,Malaysia,North Korea,1.0,4.0,AFC Asian Cup qualification,Bangkok,Thailand,True
4/6/2000,Pakistan,Jordan,0.0,5.0,AFC Asian Cup qualification,Doha,Qatar,True
4/6/2000,Thailand,Chinese Taipei,1.0,0.0,AFC Asian Cup qualification,Bangkok,Thailand,False
4/7/2000,Burma,Laos,4.0,0.0,AFC Asian Cup qualification,Seoul,South Korea,True
4/7/2000,South Korea,Mongolia,6.0,0.0,AFC Asian Cup qualification,Seoul,South Korea,False
4/8/2000,Pakistan,Kazakhstan,0.0,4.0,AFC Asian Cup qualification,Doha,Qatar,True
4/8/2000,Qatar,Jordan,2.0,2.0,AFC Asian Cup qualification,Doha,Qatar,False
4/8/2000,Thailand,Malaysia,3.0,2.0,AFC Asian Cup qualification,Bangkok,Thailand,False
4/9/2000,Iran,Bahrain,3.0,0.0,AFC Asian Cup qualification,Teheran,Iran,False
4/9/2000,South Korea,Burma,4.0,0.0,AFC Asian Cup qualification,Seoul,South Korea,False
4/9/2000,Laos,Mongolia,2.0,1.0,AFC Asian Cup qualification,Seoul,South Korea,True
