Key,Squad,Poss,Gls,Sh,SoT,SoT%,PKatt,CrdY,CrdR,Fld,Int,O. CrdY,Confederation_AFC,Confederation_CAF,Confederation_CONCACAF,Confederation_CONMEBOL,Confederation_UEFA
2019-Africa Cup of Nations-Tanzania,Tanzania,42.3,0.67,7.67,2,26.1,0,2.33,0,21.7,6.67,2,0,1,0,0,0
2019-Africa Cup of Nations-Uganda,Uganda,46,0.75,11.3,4,35.6,0,1,0,19,8.75,1.25,0,1,0,0,0
2017-Africa Cup of Nations-Uganda,Uganda,47.7,0.33,6.67,1.67,25,0,1,0,10.3,15,0.33,0,1,0,0,0
2017-Africa Cup of Nations-Togo,Togo,45.7,0.67,8.67,2.67,30.8,0,0.33,0,24,12,0.67,0,1,0,0,0
2015-Africa Cup of Nations-Congo,Congo,47.3,1.5,11.3,4,35.6,0,0.5,0,18.5,8.25,1.25,0,1,0,0,0
2015-Africa Cup of Nations-Zambia,Zambia,43.3,0.67,12.3,4.67,37.8,0,2.33,0,10.7,13,0.33,0,1,0,0,0
2022-UEFA WCQ-Andorra,Andorra,26.6,0.8,5.4,2.5,46.3,0.1,3,0.1,11.3,12.3,2.3,0,0,0,0,1
2021-UEFA Euro Qualifiers-Andorra,Andorra,23.1,0.3,3.9,1,25.6,0,2,0,9,9.3,1.6,0,0,0,0,1
2022-UEFA WCQ-Armenia,Armenia,44.7,0.8,11.4,3.5,30.7,0.3,1.9,0,10.1,9.2,2.2,0,0,0,0,1
2021-UEFA Euro Qualifiers-Armenia,Armenia,39.7,1.2,12.2,4.4,36.1,0,2,0.1,8.1,7.6,1.9,0,0,0,0,1
2022-UEFA WCQ-Azerbaijan,Azerbaijan,41.9,0.63,7.88,2.13,27,0.13,2,0.13,11.3,13.6,1.38,0,0,0,0,1
2021-UEFA Euro Qualifiers-Azerbaijan,Azerbaijan,40.3,0.5,6.5,2,30.8,0,2.88,0,10,7.5,1.88,0,0,0,0,1
2022-UEFA WCQ-Belarus,Belarus,38,0.88,6.13,2,32.7,0.25,2.13,0,10.1,13.8,1.88,0,0,0,0,1
2021-UEFA Euro Qualifiers-Belarus,Belarus,40.4,0.33,8.33,2.33,28,0.11,1.33,0,8,12.3,1.22,0,0,0,0,1
2022-UEFA WCQ-Bosnia & Herz'na,Bosnia & Herz'na,52,1.13,15.3,4.63,30.3,0.25,1.75,0,8.5,10.6,1.63,0,0,0,0,1
2021-UEFA Euro Qualifiers-Bosnia & Herz'na,Bosnia & Herz'na,55.1,1.59,15.8,5.58,35.2,0.09,1.68,0.09,9.47,9.38,1.59,0,0,0,0,1
