Key,Year,Competition,Squad,Age,Poss
2020-fr Ligue 1-Saint-Étienne,2020,fr Ligue 1,Saint-Étienne,27,48
2020-it Serie A-Sampdoria,2020,it Serie A,Sampdoria,26,42.4
2020-it Serie A-Sassuolo,2020,it Serie A,Sassuolo,26.4,57.8
2020-de Bundesliga-Schalke 04,2020,de Bundesliga,Schalke 04,24.6,49
2020-es La Liga-Sevilla,2020,es La Liga,Sevilla,27.7,58.4
2020-eng Premier League-Sheffield Utd,2020,eng Premier League,Sheffield Utd,26.9,43.1
2020-eng Premier League-Southampton,2020,eng Premier League,Southampton,25.9,49.3
2020-it Serie A-SPAL,2020,it Serie A,SPAL,27.5,46.8
2020-fr Ligue 1-Strasbourg,2020,fr Ligue 1,Strasbourg,25.8,49.7
2020-it Serie A-Torino,2020,it Serie A,Torino,27.3,47.5
2020-eng Premier League-Tottenham,2020,eng Premier League,Tottenham,26.7,52.2
2020-fr Ligue 1-Toulouse,2020,fr Ligue 1,Toulouse,25.1,44
2020-it Serie A-Udinese,2020,it Serie A,Udinese,26.5,44.7
2020-de Bundesliga-Union Berlin,2020,de Bundesliga,Union Berlin,27.7,41.8
2020-es La Liga-Valencia,2020,es La Liga,Valencia,27,48.9
2020-es La Liga-Valladolid,2020,es La Liga,Valladolid,27.1,44.3
2020-es La Liga-Villarreal,2020,es La Liga,Villarreal,27.6,53.2
2020-eng Premier League-Watford,2020,eng Premier League,Watford,28.9,42.5
2020-de Bundesliga-Werder Bremen,2020,de Bundesliga,Werder Bremen,26.7,48.8
2020-eng Premier League-West Ham,2020,eng Premier League,West Ham,27.4,44
2020-de Bundesliga-Wolfsburg,2020,de Bundesliga,Wolfsburg,26,48.3
2020-eng Premier League-Wolves,2020,eng Premier League,Wolves,26.6,48.3
2019-es La Liga-Alavés,2019,es La Liga,Alavés,26.7,42.7
2019-fr Ligue 1-Amiens,2019,fr Ligue 1,Amiens,26.5,46.3
2019-fr Ligue 1-Angers,2019,fr Ligue 1,Angers,28,43
2019-eng Premier League-Arsenal,2019,eng Premier League,Arsenal,26.7,58
2019-it Serie A-Atalanta,2019,it Serie A,Atalanta,26.5,57.8
2019-es La Liga-Athletic Club,2019,es La Liga,Athletic Club,27.6,50.1
2019-es La Liga-Atlético Madrid,2019,es La Liga,Atlético Madrid,26.4,49.4
2019-de Bundesliga-Augsburg,2019,de Bundesliga,Augsburg,26.5,46.6
2019-es La Liga-Barcelona,2019,es La Liga,Barcelona,27.7,64.2
2019-de Bundesliga-Bayern Munich,2019,de Bundesliga,Bayern Munich,27.4,65.5
2019-es La Liga-Betis,2019,es La Liga,Betis,26.7,61.7
2019-it Serie A-Bologna,2019,it Serie A,Bologna,27,44.7
2019-fr Ligue 1-Bordeaux,2019,fr Ligue 1,Bordeaux,25.3,50.1
2019-eng Premier League-Bournemouth,2019,eng Premier League,Bournemouth,26.6,46.8
2019-eng Premier League-Brighton,2019,eng Premier League,Brighton,27.4,42.6
2019-eng Premier League-Burnley,2019,eng Premier League,Burnley,28,41.2
2019-fr Ligue 1-Caen,2019,fr Ligue 1,Caen,25.8,43.9
2019-it Serie A-Cagliari,2019,it Serie A,Cagliari,27.9,50
2019-eng Premier League-Cardiff City,2019,eng Premier League,Cardiff City,27.7,35.6
2019-es La Liga-Celta Vigo,2019,es La Liga,Celta Vigo,25.5,51.7
2019-eng Premier League-Chelsea,2019,eng Premier League,Chelsea,27.3,62.8
2019-it Serie A-Chievo,2019,it Serie A,Chievo,28.3,43.1
2019-eng Premier League-Crystal Palace,2019,eng Premier League,Crystal Palace,27.4,45
