Key,Year,Competition,Squad,CrdY,CrdR,Fld,Int,TklW
2021-it Serie A-Fiorentina,2021,it Serie A,Fiorentina,2.26,0.13,15.6,9.68,9.53
2021-de Bundesliga-Freiburg,2021,de Bundesliga,Freiburg,1.82,0,13,11.4,8.76
2021-eng Premier League-Fulham,2021,eng Premier League,Fulham,1.76,0.08,12,13.2,10.9
2021-it Serie A-Genoa,2021,it Serie A,Genoa,2.29,0.05,14.1,12.5,10.4
2021-es La Liga-Getafe,2021,es La Liga,Getafe,3.16,0.18,15,11.2,10.1
2021-es La Liga-Granada,2021,es La Liga,Granada,2.55,0.16,13.6,10.7,9.87
2021-it Serie A-Hellas Verona,2021,it Serie A,Hellas Verona,2.39,0.03,15.3,12.2,8.89
2021-de Bundesliga-Hertha BSC,2021,de Bundesliga,Hertha BSC,1.97,0.09,14.3,12,10.4
2021-de Bundesliga-Hoffenheim,2021,de Bundesliga,Hoffenheim,2,0.12,13.6,10.2,10.4
2021-es La Liga-Huesca,2021,es La Liga,Huesca,1.82,0.05,15.7,9.18,10.6
2021-it Serie A-Inter,2021,it Serie A,Inter,1.61,0.05,13.1,9.61,8.58
2021-it Serie A-Juventus,2021,it Serie A,Juventus,2.11,0.16,14.8,9.74,10.4
2021-de Bundesliga-Köln,2021,de Bundesliga,Köln,1.85,0.03,13.9,12.6,11.2
2021-it Serie A-Lazio,2021,it Serie A,Lazio,2.82,0.13,12.8,11.2,10.4
2021-eng Premier League-Leeds United,2021,eng Premier League,Leeds United,1.61,0.03,12.6,12.6,13
2021-eng Premier League-Leicester City,2021,eng Premier League,Leicester City,1.61,0,13.5,11.4,11.7
2021-fr Ligue 1-Lens,2021,fr Ligue 1,Lens,2.47,0.18,13.3,12.1,10.6
2021-es La Liga-Levante,2021,es La Liga,Levante,1.79,0.03,12.1,11.7,9.68
2021-de Bundesliga-Leverkusen,2021,de Bundesliga,Leverkusen,1.71,0,11.3,11.1,10.1
2021-fr Ligue 1-Lille,2021,fr Ligue 1,Lille,1.79,0.05,13.1,10.8,11.9
2021-eng Premier League-Liverpool,2021,eng Premier League,Liverpool,1.05,0,11,10.1,9.42
2021-fr Ligue 1-Lorient,2021,fr Ligue 1,Lorient,1.82,0.08,13.3,12.7,12.7
2021-fr Ligue 1-Lyon,2021,fr Ligue 1,Lyon,1.74,0.26,13.2,10.6,11.8
2021-de Bundesliga-M'Gladbach,2021,de Bundesliga,M'Gladbach,1.79,0.06,14,13.4,10.2
2021-de Bundesliga-Mainz 05,2021,de Bundesliga,Mainz 05,1.85,0.03,12.1,13.4,11.9
2021-eng Premier League-Manchester City,2021,eng Premier League,Manchester City,1.21,0.05,12.3,8.92,9.61
2021-eng Premier League-Manchester Utd,2021,eng Premier League,Manchester Utd,1.68,0.03,13.6,12,9.76
2021-fr Ligue 1-Marseille,2021,fr Ligue 1,Marseille,2.58,0.24,13.8,11.2,12.3
2021-fr Ligue 1-Metz,2021,fr Ligue 1,Metz,2.21,0.11,13.1,11.8,12.2
2021-it Serie A-Milan,2021,it Serie A,Milan,2.18,0.11,14.3,10.1,10.7
2021-fr Ligue 1-Monaco,2021,fr Ligue 1,Monaco,2.05,0.18,13.3,10.3,14.5
2021-fr Ligue 1-Montpellier,2021,fr Ligue 1,Montpellier,1.71,0.18,12.8,10.4,10.5
2021-fr Ligue 1-Nantes,2021,fr Ligue 1,Nantes,1.84,0.11,14.3,11,11.9
2021-it Serie A-Napoli,2021,it Serie A,Napoli,2,0.08,16.2,10.7,10.3
2021-eng Premier League-Newcastle Utd,2021,eng Premier League,Newcastle Utd,1.71,0.08,12.6,10.9,9.55
2021-fr Ligue 1-Nice,2021,fr Ligue 1,Nice,1.92,0.11,12.5,10,11.2
2021-fr Ligue 1-Nîmes,2021,fr Ligue 1,Nîmes,1.58,0.13,14.7,12.5,11.4
2021-es La Liga-Osasuna,2021,es La Liga,Osasuna,2.11,0.13,11.8,10.1,9.32
2021-fr Ligue 1-Paris S-G,2021,fr Ligue 1,Paris S-G,2.08,0.18,13.3,9.58,11.2
2021-it Serie A-Parma,2021,it Serie A,Parma,2.39,0.03,13.9,11.3,9.71
2021-de Bundesliga-RB Leipzig,2021,de Bundesliga,RB Leipzig,1.68,0,13.7,11.2,10.4
2021-es La Liga-Real Madrid,2021,es La Liga,Real Madrid,1.55,0.05,14.3,10.7,9.29
2021-es La Liga-Real Sociedad,2021,es La Liga,Real Sociedad,2.13,0.03,13.7,8.87,9
2021-fr Ligue 1-Reims,2021,fr Ligue 1,Reims,2.03,0.21,11.7,11.5,11.4
2021-fr Ligue 1-Rennes,2021,fr Ligue 1,Rennes,2.08,0.13,13.7,8.95,12
2021-it Serie A-Roma,2021,it Serie A,Roma,2.39,0.08,13.2,12,10.3
2021-fr Ligue 1-Saint-Étienne,2021,fr Ligue 1,Saint-Étienne,2,0.05,13.7,11.8,13.1
2021-it Serie A-Sampdoria,2021,it Serie A,Sampdoria,2.18,0.08,14.5,10.8,10.5
2021-it Serie A-Sassuolo,2021,it Serie A,Sassuolo,2.08,0.11,14.8,9.79,9.71
2021-de Bundesliga-Schalke 04,2021,de Bundesliga,Schalke 04,2.18,0.06,13,13.7,11
2021-es La Liga-Sevilla,2021,es La Liga,Sevilla,2.08,0.05,14.4,8.79,10.2
2021-eng Premier League-Sheffield Utd,2021,eng Premier League,Sheffield Utd,1.92,0.08,9.34,11.6,9.68
2021-eng Premier League-Southampton,2021,eng Premier League,Southampton,1.37,0.08,13,11.5,12
2021-it Serie A-Spezia,2021,it Serie A,Spezia,2.63,0.13,15.6,11.5,10.2
2021-fr Ligue 1-Strasbourg,2021,fr Ligue 1,Strasbourg,1.53,0.08,11.7,13.5,12.4
2021-de Bundesliga-Stuttgart,2021,de Bundesliga,Stuttgart,1.91,0.06,14.6,11.2,10.3
2021-it Serie A-Torino,2021,it Serie A,Torino,2.05,0.11,17.8,13,9.92
2021-eng Premier League-Tottenham,2021,eng Premier League,Tottenham,1.5,0.05,15,9.74,11.2
2021-it Serie A-Udinese,2021,it Serie A,Udinese,1.71,0.05,15.3,10.5,10.1
2021-de Bundesliga-Union Berlin,2021,de Bundesliga,Union Berlin,1.68,0.06,11.8,12.6,10.3
2021-es La Liga-Valencia,2021,es La Liga,Valencia,2.16,0.13,15.5,8.45,8.21
2021-es La Liga-Valladolid,2021,es La Liga,Valladolid,2.45,0.11,15,10.3,9.89
2021-es La Liga-Villarreal,2021,es La Liga,Villarreal,1.76,0.13,14.8,9.32,8.95
2021-de Bundesliga-Werder Bremen,2021,de Bundesliga,Werder Bremen,1.97,0.09,15.4,14,11
2021-eng Premier League-West Brom,2021,eng Premier League,West Brom,1.34,0.11,12.6,11.8,10.5
