Key,Year,Competition,Squad,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt
2019-eng Premier League-Arsenal,2019,eng Premier League,Arsenal,1.29,12.9,4.58,35.4,0.09,0.24,0.18
2019-it Serie A-Atalanta,2019,it Serie A,Atalanta,1.13,10.7,3.47,32.4,0.1,0.3,0.13
2019-es La Liga-Athletic Club,2019,es La Liga,Athletic Club,1.18,10.4,3.05,29.4,0.1,0.34,0.13
2019-es La Liga-Atlético Madrid,2019,es La Liga,Atlético Madrid,0.71,11.1,3.42,30.7,0.05,0.17,0.13
2019-de Bundesliga-Augsburg,2019,de Bundesliga,Augsburg,2.03,14.9,5.29,35.6,0.13,0.38,0.06
2019-es La Liga-Barcelona,2019,es La Liga,Barcelona,0.95,10.8,3.39,31.5,0.08,0.26,0.05
2019-de Bundesliga-Bayern Munich,2019,de Bundesliga,Bayern Munich,0.91,7.29,2.09,28.6,0.1,0.37,0.18
2019-es La Liga-Betis,2019,es La Liga,Betis,1.37,11,4.11,37.4,0.12,0.31,0.13
2019-it Serie A-Bologna,2019,it Serie A,Bologna,1.45,14.2,4.55,32.2,0.09,0.29,0.11
2019-fr Ligue 1-Bordeaux,2019,fr Ligue 1,Bordeaux,1.11,13.4,3.87,28.8,0.07,0.24,0.18
2019-eng Premier League-Bournemouth,2019,eng Premier League,Bournemouth,1.76,13.7,4.45,32.4,0.12,0.37,0.13
2019-eng Premier League-Brighton,2019,eng Premier League,Brighton,1.58,14.8,4.08,27.5,0.09,0.32,0.26
2019-eng Premier League-Burnley,2019,eng Premier League,Burnley,1.68,17.2,5.16,30,0.09,0.32,0.08
2019-fr Ligue 1-Caen,2019,fr Ligue 1,Caen,1.37,14.3,4.79,33.6,0.08,0.25,0.21
2019-it Serie A-Cagliari,2019,it Serie A,Cagliari,1.37,15.1,5.13,34,0.08,0.23,0.26
2019-eng Premier League-Cardiff City,2019,eng Premier League,Cardiff City,1.82,14.7,5.24,35.5,0.12,0.33,0.18
2019-es La Liga-Celta Vigo,2019,es La Liga,Celta Vigo,1.61,12.4,4.29,34.5,0.12,0.34,0.18
2019-eng Premier League-Chelsea,2019,eng Premier League,Chelsea,1.03,9.13,3.21,35.2,0.11,0.31,0.05
2019-it Serie A-Chievo,2019,it Serie A,Chievo,1.92,15.6,5.53,35.4,0.12,0.34,0.11
2019-eng Premier League-Crystal Palace,2019,eng Premier League,Crystal Palace,1.37,13.7,4.18,30.6,0.09,0.3,0.13
2019-fr Ligue 1-Dijon,2019,fr Ligue 1,Dijon,1.55,14.3,4.47,31.4,0.1,0.33,0.08
2019-de Bundesliga-Dortmund,2019,de Bundesliga,Dortmund,1.29,9.97,3.82,38.3,0.12,0.31,0.15
2019-de Bundesliga-Düsseldorf,2019,de Bundesliga,Düsseldorf,1.91,14.2,5.09,35.9,0.12,0.34,0.21
2019-es La Liga-Eibar,2019,es La Liga,Eibar,1.32,8.68,3.32,38.2,0.14,0.37,0.11
2019-de Bundesliga-Eint Frankfurt,2019,de Bundesliga,Eint Frankfurt,1.38,13.2,4.91,37.1,0.1,0.28,0.03
2019-it Serie A-Empoli,2019,it Serie A,Empoli,1.79,16.4,5.95,36.3,0.1,0.27,0.21
2019-es La Liga-Espanyol,2019,es La Liga,Espanyol,1.26,13.1,4.11,31.5,0.08,0.27,0.21
2019-eng Premier League-Everton,2019,eng Premier League,Everton,1.16,10.4,3.45,33,0.11,0.32,0.13
2019-it Serie A-Fiorentina,2019,it Serie A,Fiorentina,1.11,11.9,3.58,30.2,0.08,0.27,0.16
2019-de Bundesliga-Freiburg,2019,de Bundesliga,Freiburg,1.79,14.9,4.91,32.9,0.11,0.32,0.21
2019-it Serie A-Frosinone,2019,it Serie A,Frosinone,1.79,16.7,5.5,33,0.1,0.3,0.13
2019-eng Premier League-Fulham,2019,eng Premier League,Fulham,2.08,15.4,5.76,37.3,0.13,0.34,0.18
2019-it Serie A-Genoa,2019,it Serie A,Genoa,1.45,13.8,4.29,31.2,0.1,0.31,0.16
2019-es La Liga-Getafe,2019,es La Liga,Getafe,0.84,9.76,3.37,34.5,0.08,0.22,0.18
2019-es La Liga-Girona,2019,es La Liga,Girona,1.37,13.4,5.21,38.7,0.09,0.22,0.21
2019-fr Ligue 1-Guingamp,2019,fr Ligue 1,Guingamp,1.79,12,4.29,35.8,0.14,0.4,0.16
2019-de Bundesliga-Hannover 96,2019,de Bundesliga,Hannover 96,2.06,16.2,6.47,39.9,0.12,0.29,0.21
2019-de Bundesliga-Hertha BSC,2019,de Bundesliga,Hertha BSC,1.62,14.5,4.53,31.2,0.1,0.33,0.18
2019-de Bundesliga-Hoffenheim,2019,de Bundesliga,Hoffenheim,1.5,13.6,4.85,35.7,0.1,0.27,0.21
2019-eng Premier League-Huddersfield,2019,eng Premier League,Huddersfield,1.97,13.6,4.71,34.8,0.13,0.38,0.21
2019-es La Liga-Huesca,2019,es La Liga,Huesca,1.63,11.9,4.39,36.9,0.12,0.32,0.24
2019-it Serie A-Inter,2019,it Serie A,Inter,0.82,10.9,3.37,30.9,0.07,0.22,0.13
2019-it Serie A-Juventus,2019,it Serie A,Juventus,0.76,11.5,2.82,24.4,0.06,0.25,0.11
2019-it Serie A-Lazio,2019,it Serie A,Lazio,1.18,12.3,3.87,31.3,0.09,0.27,0.16
2019-es La Liga-Leganés,2019,es La Liga,Leganés,1.11,10.3,3.39,32.8,0.1,0.3,0.11
2019-eng Premier League-Leicester City,2019,eng Premier League,Leicester City,1.26,11.3,3.53,31.2,0.1,0.32,0.13
2019-es La Liga-Levante,2019,es La Liga,Levante,1.66,17.3,5.68,32.8,0.08,0.25,0.24
2019-de Bundesliga-Leverkusen,2019,de Bundesliga,Leverkusen,1.44,11.1,4.03,36.3,0.12,0.33,0.18
