Country,Player,Age,MP,Starts,Minutes,fullgmsplayed,Gls,Ast,G_PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G_A_90,G_PK_90,G_A_PK_90
Belgium,Dedryck Boyata,31,4,3,315,3.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Leandro Trossard,27,7,3,299,3.30,2,1,2,0,0,0,0,0.60,0.30,0.90,0.60,0.90
Belgium,Thorgan Hazard,28,4,3,291,3.20,2,1,2,0,0,2,0,0.62,0.31,0.93,0.62,0.93
Belgium,Eden Hazard,31,4,3,237,2.60,1,1,1,0,0,0,0,0.38,0.38,0.76,0.38,0.76
Belgium,Yannick Carrasco,28,3,3,208,2.30,1,2,1,0,0,0,0,0.43,0.87,1.30,0.43,1.30
Belgium,Leander Dendoncker,26,7,2,264,2.90,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Belgium,Alexis Saelemaekers,22,5,2,243,2.70,1,1,1,0,0,2,0,0.37,0.37,0.74,0.37,0.74
Belgium,Koen Casteels,29,2,2,180,2.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Dries Mertens,34,3,2,164,1.80,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Dennis Praet,27,2,2,160,1.80,2,1,2,0,0,0,0,1.13,0.56,1.69,1.13,1.69
Belgium,Michy Batshuayi,28,3,2,156,1.70,1,1,1,0,0,1,0,0.58,0.58,1.15,0.58,1.15
Belgium,Christian Benteke,31,4,1,141,1.60,2,1,2,0,0,0,0,1.28,0.64,1.91,1.28,1.91
Belgium,Dodi Lukebakio,24,3,1,93,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Simon Mignolet,33,1,1,90,1.00,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Arthur Theate,21,1,1,84,0.90,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Jeremy Doku,19,1,1,76,0.80,1,2,1,0,0,0,0,1.18,2.37,3.55,1.18,3.55
Belgium,Charles De Ketelaere,20,2,1,66,0.70,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Divock Origi,26,2,1,66,0.70,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Nacer Chadli,32,1,1,55,0.60,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Belgium,Thomas Vermaelen,36,1,1,45,0.50,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
