Key,Year,Competition,Squad,O. Age,O. Poss,MP,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2022-de Bundesliga-RB Leipzig,2022,de Bundesliga,RB Leipzig,26.0,43.4,34,1.06,10.3,3.26,31.6,0.09,0.3,0.09,2.0,0.12,11.6,16.9,10.8
2022-es La Liga-Real Madrid,2022,es La Liga,Real Madrid,27.6,39.7,38,0.82,11.3,3.24,28.5,0.06,0.23,0.13,2.16,0.08,11.4,14.7,11.3
2022-es La Liga-Real Sociedad,2022,es La Liga,Real Sociedad,27.7,45.3,38,0.97,11.0,3.21,29.3,0.08,0.26,0.16,2.5,0.05,13.8,14.6,11.8
2022-fr Ligue 1-Reims,2022,fr Ligue 1,Reims,25.9,57.8,38,1.16,13.4,4.0,29.7,0.08,0.26,0.18,2.0,0.16,12.5,15.5,10.1
2022-fr Ligue 1-Rennes,2022,fr Ligue 1,Rennes,25.8,43.7,38,1.03,9.29,2.55,27.5,0.1,0.35,0.16,1.92,0.05,11.5,15.8,9.89
2022-it Serie A-Roma,2022,it Serie A,Roma,26.8,48.6,38,1.08,9.79,3.71,37.9,0.1,0.26,0.16,2.79,0.21,14.2,14.7,10.4
2022-fr Ligue 1-Saint-Étienne,2022,fr Ligue 1,Saint-Étienne,26.1,50.7,38,1.92,12.0,4.76,39.8,0.14,0.36,0.21,1.82,0.03,12.4,16.4,13.4
2022-it Serie A-Salernitana,2022,it Serie A,Salernitana,26.8,59.0,38,2.0,15.4,5.58,36.3,0.12,0.33,0.21,2.58,0.21,13.5,11.0,10.2
2022-it Serie A-Sampdoria,2022,it Serie A,Sampdoria,26.7,54.1,38,1.61,14.6,4.84,33.3,0.1,0.32,0.11,2.16,0.05,14.1,15.1,8.55
2022-it Serie A-Sassuolo,2022,it Serie A,Sassuolo,26.8,44.8,38,1.71,13.8,4.34,31.5,0.11,0.35,0.24,2.18,0.16,12.7,14.6,10.4
2022-es La Liga-Sevilla,2022,es La Liga,Sevilla,27.8,40.2,38,0.79,11.2,3.11,27.8,0.07,0.24,0.11,2.58,0.11,13.4,14.6,9.82
2022-eng Premier League-Southampton,2022,eng Premier League,Southampton,26.8,52.1,38,1.71,13.0,4.74,36.5,0.13,0.35,0.05,1.68,0.03,12.6,13.9,11.1
2022-it Serie A-Spezia,2022,it Serie A,Spezia,27.0,57.3,38,1.79,16.7,5.13,30.8,0.09,0.3,0.34,2.24,0.05,14.4,14.8,11.3
2022-fr Ligue 1-Strasbourg,2022,fr Ligue 1,Strasbourg,25.9,50.5,38,1.11,10.8,3.32,30.7,0.09,0.3,0.11,2.05,0.11,13.3,15.8,9.13
2022-de Bundesliga-Stuttgart,2022,de Bundesliga,Stuttgart,26.3,49.3,34,1.71,14.8,4.59,31.0,0.11,0.35,0.12,1.71,0.06,11.6,15.6,12.6
2022-it Serie A-Torino,2022,it Serie A,Torino,26.8,46.4,38,1.08,10.2,3.03,29.7,0.08,0.28,0.29,2.53,0.18,17.7,11.4,8.66
2022-eng Premier League-Tottenham,2022,eng Premier League,Tottenham,26.8,48.0,38,1.03,13.0,3.5,26.9,0.07,0.28,0.05,2.18,0.16,12.2,16.1,11.1
2022-fr Ligue 1-Troyes,2022,fr Ligue 1,Troyes,25.9,55.8,38,1.34,11.9,3.92,32.9,0.09,0.28,0.26,2.34,0.18,11.9,16.4,10.9
2022-it Serie A-Udinese,2022,it Serie A,Udinese,26.8,57.7,38,1.5,12.2,4.08,33.4,0.11,0.34,0.18,2.82,0.16,15.8,13.9,11.7
2022-de Bundesliga-Union Berlin,2022,de Bundesliga,Union Berlin,26.1,56.6,34,1.18,11.6,3.62,31.1,0.1,0.31,0.06,1.53,0.09,13.2,14.3,7.74
2022-es La Liga-Valencia,2022,es La Liga,Valencia,27.8,56.4,38,1.32,11.5,4.11,35.7,0.1,0.28,0.21,3.5,0.18,18.2,10.8,11.2
2022-it Serie A-Venezia,2022,it Serie A,Venezia,26.8,57.9,38,1.76,17.6,5.68,32.2,0.08,0.26,0.32,2.08,0.08,14.5,14.4,11.0
2022-es La Liga-Villarreal,2022,es La Liga,Villarreal,27.6,43.0,38,0.95,11.0,3.26,29.7,0.08,0.26,0.13,2.58,0.08,13.8,16.5,11.4
2022-eng Premier League-Watford,2022,eng Premier League,Watford,26.8,59.7,38,1.95,14.6,4.74,32.4,0.12,0.38,0.18,1.68,0.03,13.8,12.6,12.6
2022-eng Premier League-West Ham,2022,eng Premier League,West Ham,26.8,52.2,38,1.29,14.3,4.18,29.2,0.09,0.3,0.16,1.29,0.08,9.53,12.9,9.42
2022-de Bundesliga-Wolfsburg,2022,de Bundesliga,Wolfsburg,26.3,49.4,34,1.56,13.0,4.32,33.3,0.11,0.33,0.21,1.94,0.06,12.8,15.9,10.6
2022-eng Premier League-Wolves,2022,eng Premier League,Wolves,26.7,50.4,38,1.11,13.2,4.13,31.2,0.07,0.21,0.26,2.37,0.08,11.6,15.4,11.3
2021-es La Liga-Alavés,2021,es La Liga,Alavés,27.5,57.3,38,1.5,10.5,3.76,35.8,0.14,0.38,0.08,2.11,0.08,14.1,9.16,8.76
2021-fr Ligue 1-Angers,2021,fr Ligue 1,Angers,26.0,53.8,38,1.5,10.3,3.53,34.4,0.13,0.37,0.21,1.92,0.08,12.1,11.9,14.2
2021-de Bundesliga-Arminia,2021,de Bundesliga,Arminia,25.9,57.8,34,1.5,12.9,4.88,37.7,0.1,0.28,0.18,1.85,0.06,12.1,9.65,9.62
2021-eng Premier League-Arsenal,2021,eng Premier League,Arsenal,26.7,46.2,38,0.92,11.0,3.37,30.5,0.08,0.26,0.08,1.95,0.05,10.5,10.1,9.74
