Key,Year,Competition,Squad,O. Age,O. Poss,MP,O. Gls,O. Sh,O. SoT,O. SoT%,O. G/Sh,O. G/SoT,O. PKatt,O. CrdY,O. CrdR,O. Fld,O. Int,O. TklW
2019-es La Liga-Betis,2019,es La Liga,Betis,26.8,38.3,38,1.37,11.0,4.11,37.4,0.12,0.31,0.13,2.53,0.11,13.2,12.8,10.6
2019-it Serie A-Bologna,2019,it Serie A,Bologna,26.7,55.3,38,1.45,14.2,4.55,32.2,0.09,0.29,0.11,1.76,0.08,13.1,7.26,10.4
2019-fr Ligue 1-Bordeaux,2019,fr Ligue 1,Bordeaux,25.8,49.9,38,1.11,13.4,3.87,28.8,0.07,0.24,0.18,1.92,0.08,13.6,11.2,10.3
2019-eng Premier League-Bournemouth,2019,eng Premier League,Bournemouth,26.8,53.2,38,1.76,13.7,4.45,32.4,0.12,0.37,0.13,1.92,0.03,9.89,15.8,12.7
2019-eng Premier League-Brighton,2019,eng Premier League,Brighton,26.8,57.4,38,1.58,14.8,4.08,27.5,0.09,0.32,0.26,0.79,0.05,13.0,13.3,9.05
2019-eng Premier League-Burnley,2019,eng Premier League,Burnley,26.7,58.8,38,1.68,17.2,5.16,30.0,0.09,0.32,0.08,1.18,0.16,10.6,10.5,8.84
2019-fr Ligue 1-Caen,2019,fr Ligue 1,Caen,26.0,56.1,38,1.37,14.3,4.79,33.6,0.08,0.25,0.21,1.92,0.05,13.7,11.6,8.18
2019-it Serie A-Cagliari,2019,it Serie A,Cagliari,26.9,50.0,38,1.37,15.1,5.13,34.0,0.08,0.23,0.26,1.89,0.08,16.7,6.84,9.03
2019-es La Liga-Celta Vigo,2019,es La Liga,Celta Vigo,26.9,48.3,38,1.61,12.4,4.29,34.5,0.12,0.34,0.18,2.55,0.03,12.1,11.6,9.92
2019-eng Premier League-Chelsea,2019,eng Premier League,Chelsea,26.8,37.2,38,1.03,9.13,3.21,35.2,0.11,0.31,0.05,1.97,0.03,10.3,17.1,11.9
2019-it Serie A-Chievo,2019,it Serie A,Chievo,27.0,56.9,38,1.92,15.6,5.53,35.4,0.12,0.34,0.11,1.5,0.16,13.1,6.92,10.4
2019-eng Premier League-Crystal Palace,2019,eng Premier League,Crystal Palace,26.7,55.0,38,1.37,13.7,4.18,30.6,0.09,0.3,0.13,1.89,0.08,12.9,13.3,11.8
2019-fr Ligue 1-Dijon,2019,fr Ligue 1,Dijon,25.8,52.1,38,1.55,14.3,4.47,31.4,0.1,0.33,0.08,1.55,0.08,13.1,10.2,10.1
2019-de Bundesliga-Dortmund,2019,de Bundesliga,Dortmund,25.7,42.0,34,1.29,9.97,3.82,38.3,0.12,0.31,0.15,1.68,0.09,12.3,7.91,11.5
2019-es La Liga-Eibar,2019,es La Liga,Eibar,26.8,45.9,38,1.32,8.68,3.32,38.2,0.14,0.37,0.11,2.05,0.16,13.8,13.1,10.1
2019-de Bundesliga-Eint Frankfurt,2019,de Bundesliga,Eint Frankfurt,26.0,52.7,34,1.38,13.2,4.91,37.1,0.1,0.28,0.03,1.53,0.03,15.9,8.18,11.3
2019-es La Liga-Espanyol,2019,es La Liga,Espanyol,26.8,50.5,38,1.26,13.1,4.11,31.5,0.08,0.27,0.21,2.97,0.08,15.1,11.9,9.11
2019-eng Premier League-Everton,2019,eng Premier League,Everton,26.8,48.5,38,1.16,10.4,3.45,33.0,0.11,0.32,0.13,1.29,0.13,13.7,12.7,10.3
2019-it Serie A-Fiorentina,2019,it Serie A,Fiorentina,27.0,49.3,38,1.11,11.9,3.58,30.2,0.08,0.27,0.16,2.58,0.21,15.1,7.45,11.9
2019-de Bundesliga-Freiburg,2019,de Bundesliga,Freiburg,25.8,55.8,34,1.79,14.9,4.91,32.9,0.11,0.32,0.21,1.53,0.0,13.9,6.41,10.4
2019-it Serie A-Genoa,2019,it Serie A,Genoa,26.9,56.9,38,1.45,13.8,4.29,31.2,0.1,0.31,0.16,1.89,0.16,15.6,7.97,9.71
2019-es La Liga-Getafe,2019,es La Liga,Getafe,26.8,59.2,38,0.84,9.76,3.37,34.5,0.08,0.22,0.18,2.82,0.08,20.1,12.0,10.3
2019-es La Liga-Girona,2019,es La Liga,Girona,27.1,52.0,38,1.37,13.4,5.21,38.7,0.09,0.22,0.21,2.95,0.08,18.0,10.4,10.2
2019-fr Ligue 1-Guingamp,2019,fr Ligue 1,Guingamp,26.0,56.1,38,1.79,12.0,4.29,35.8,0.14,0.4,0.16,2.0,0.16,13.4,11.1,9.16
2019-de Bundesliga-Hannover 96,2019,de Bundesliga,Hannover 96,25.8,53.7,34,2.06,16.2,6.47,39.9,0.12,0.29,0.21,1.94,0.06,15.2,7.62,11.0
2019-de Bundesliga-Hertha BSC,2019,de Bundesliga,Hertha BSC,25.9,51.9,34,1.62,14.5,4.53,31.2,0.1,0.33,0.18,1.65,0.09,14.8,7.47,9.94
2019-de Bundesliga-Hoffenheim,2019,de Bundesliga,Hoffenheim,26.0,46.4,34,1.5,13.6,4.85,35.7,0.1,0.27,0.21,1.26,0.06,15.7,8.74,11.6
2019-eng Premier League-Huddersfield,2019,eng Premier League,Huddersfield,26.5,53.0,38,1.97,13.6,4.71,34.8,0.13,0.38,0.21,1.47,0.11,11.9,14.4,11.9
2019-it Serie A-Inter,2019,it Serie A,Inter,26.8,40.4,38,0.82,10.9,3.37,30.9,0.07,0.22,0.13,2.05,0.24,12.4,9.11,10.1
2019-it Serie A-Juventus,2019,it Serie A,Juventus,26.9,43.8,38,0.76,11.5,2.82,24.4,0.06,0.25,0.11,2.32,0.18,11.6,7.29,10.7
2019-it Serie A-Lazio,2019,it Serie A,Lazio,26.8,49.2,38,1.18,12.3,3.87,31.3,0.09,0.27,0.16,1.84,0.08,11.8,8.87,11.8
2019-es La Liga-Leganés,2019,es La Liga,Leganés,26.8,57.2,38,1.11,10.3,3.39,32.8,0.1,0.3,0.11,2.16,0.11,17.2,10.7,11.6
2019-eng Premier League-Leicester City,2019,eng Premier League,Leicester City,26.8,48.9,38,1.26,11.3,3.53,31.2,0.1,0.32,0.13,1.37,0.03,11.4,14.9,11.3
2019-es La Liga-Levante,2019,es La Liga,Levante,26.9,54.4,38,1.66,17.3,5.68,32.8,0.08,0.25,0.24,2.45,0.16,16.0,10.8,11.5
2019-de Bundesliga-Leverkusen,2019,de Bundesliga,Leverkusen,25.7,40.1,34,1.44,11.1,4.03,36.3,0.12,0.33,0.18,2.32,0.03,13.9,10.0,12.1
2019-fr Ligue 1-Lille,2019,fr Ligue 1,Lille,26.0,48.5,38,0.87,10.0,3.11,31.1,0.07,0.23,0.26,1.87,0.05,12.7,12.4,11.9
2019-eng Premier League-Liverpool,2019,eng Premier League,Liverpool,26.9,38.3,38,0.58,8.05,2.58,32.0,0.07,0.22,0.03,1.32,0.0,9.5,17.1,11.9
2019-fr Ligue 1-Lyon,2019,fr Ligue 1,Lyon,26.2,39.2,38,1.13,12.4,3.84,31.0,0.08,0.26,0.13,1.97,0.18,12.2,11.6,11.7
2019-de Bundesliga-M'Gladbach,2019,de Bundesliga,M'Gladbach,25.9,46.9,34,1.24,13.0,4.53,34.9,0.09,0.25,0.09,1.56,0.09,12.5,7.68,11.6
2019-de Bundesliga-Mainz 05,2019,de Bundesliga,Mainz 05,26.0,53.9,34,1.68,14.9,4.97,33.4,0.11,0.32,0.12,2.15,0.09,15.9,9.03,12.7
2019-eng Premier League-Manchester City,2019,eng Premier League,Manchester City,26.6,32.2,38,0.61,6.32,2.05,32.5,0.08,0.24,0.11,2.03,0.08,9.82,19.1,11.4
2019-eng Premier League-Manchester Utd,2019,eng Premier League,Manchester Utd,26.9,45.5,38,1.34,13.0,4.47,34.5,0.09,0.26,0.16,1.82,0.03,12.2,15.1,12.0
2019-fr Ligue 1-Marseille,2019,fr Ligue 1,Marseille,25.9,44.5,38,1.37,10.4,3.42,33.0,0.11,0.32,0.32,1.68,0.13,13.7,10.8,9.21
2019-it Serie A-Milan,2019,it Serie A,Milan,26.9,45.8,38,0.92,12.2,3.5,28.7,0.07,0.23,0.13,2.11,0.16,12.7,8.55,8.95
2019-fr Ligue 1-Monaco,2019,fr Ligue 1,Monaco,25.9,50.2,38,1.45,11.2,3.74,33.3,0.12,0.35,0.21,1.79,0.11,13.2,10.3,10.0
2019-fr Ligue 1-Montpellier,2019,fr Ligue 1,Montpellier,26.1,52.2,38,1.05,12.0,3.63,30.3,0.08,0.27,0.13,2.03,0.05,11.7,11.9,9.82
2019-fr Ligue 1-Nantes,2019,fr Ligue 1,Nantes,26.1,49.9,38,1.26,11.1,3.32,29.9,0.1,0.35,0.21,1.92,0.05,12.6,12.6,8.89
2019-it Serie A-Napoli,2019,it Serie A,Napoli,27.0,40.6,38,0.95,11.5,3.55,30.9,0.07,0.24,0.11,2.21,0.0,9.29,12.5,11.8
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,26.8,59.6,38,1.24,12.8,3.53,27.6,0.08,0.31,0.16,1.63,0.0,11.7,12.4,11.2
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,25.8,44.4,38,0.89,13.1,4.03,30.8,0.06,0.2,0.16,1.84,0.11,11.4,11.7,10.7
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,25.9,35.9,38,0.84,10.4,3.26,31.5,0.07,0.22,0.16,2.03,0.08,11.1,14.4,9.76
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,25.8,50.7,34,0.82,8.94,3.26,36.5,0.08,0.21,0.18,1.97,0.12,13.5,10.6,13.5
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,26.8,40.0,38,1.21,10.1,3.5,34.6,0.1,0.3,0.21,2.55,0.08,12.2,13.6,9.39
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,26.9,48.4,38,1.16,11.5,3.71,32.3,0.1,0.3,0.08,2.47,0.03,11.7,10.5,11.0
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,26.3,49.3,38,1.34,12.4,4.0,32.2,0.1,0.31,0.13,2.74,0.18,12.7,11.9,9.26
2019-it Serie A-Roma,2019,it Serie A,Roma,26.7,48.3,38,1.24,14.4,4.21,29.3,0.08,0.27,0.18,1.87,0.13,11.0,8.61,11.7
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,25.7,47.3,38,1.05,12.3,4.0,32.5,0.07,0.22,0.24,1.79,0.11,13.1,12.6,10.0
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,26.7,44.7,38,1.32,13.3,3.79,28.4,0.08,0.3,0.21,2.42,0.11,11.4,8.66,12.4
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,27.0,46.0,38,1.53,12.6,4.11,32.6,0.11,0.35,0.21,1.97,0.11,13.4,7.0,11.5
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,25.9,54.6,34,1.59,13.3,4.62,34.7,0.11,0.31,0.18,1.91,0.15,16.7,7.35,12.2
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,27.0,47.8,38,1.21,11.8,3.82,32.2,0.09,0.28,0.18,2.11,0.08,16.2,13.9,10.5
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,26.7,56.1,38,1.63,13.7,4.53,33.1,0.12,0.35,0.08,1.34,0.05,12.4,14.5,9.26
2019-it Serie A-SPAL,2019,it Serie A,SPAL,26.6,49.4,38,1.47,14.3,4.58,32.0,0.09,0.29,0.13,2.0,0.11,12.8,5.47,10.3
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,26.0,49.8,38,1.24,12.8,4.0,31.1,0.08,0.26,0.24,2.11,0.11,14.0,9.61,7.84
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,26.0,54.1,34,1.94,15.0,5.24,34.9,0.13,0.36,0.09,1.35,0.06,13.9,8.38,10.4
2019-it Serie A-Torino,2019,it Serie A,Torino,26.9,48.6,38,0.97,12.4,3.79,30.4,0.07,0.24,0.13,1.89,0.13,15.4,7.13,12.2
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,26.7,41.1,38,0.95,12.1,3.89,32.3,0.07,0.22,0.13,1.97,0.03,10.9,16.1,13.0
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,25.8,51.7,38,1.47,15.2,4.61,30.4,0.09,0.29,0.16,2.03,0.24,15.1,11.0,9.58
2019-it Serie A-Udinese,2019,it Serie A,Udinese,26.8,57.6,38,1.37,16.0,4.45,27.8,0.07,0.25,0.24,1.55,0.13,14.4,6.68,10.8
2019-es La Liga-Valencia,2019,es La Liga,Valencia,27.3,52.9,38,0.87,12.2,3.84,31.5,0.06,0.18,0.21,2.55,0.13,14.3,13.2,11.8
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,26.8,51.7,38,1.29,14.7,4.89,33.4,0.08,0.25,0.13,2.18,0.11,17.0,13.4,9.21
2019-eng Premier League-Watford,2019,eng Premier League,Watford,26.8,52.9,38,1.47,12.7,4.55,36.0,0.11,0.3,0.13,1.71,0.08,12.9,13.3,11.4
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,25.7,47.8,34,1.44,13.5,4.59,33.9,0.1,0.29,0.15,1.38,0.03,16.5,8.59,11.1
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,26.7,51.3,38,1.42,13.7,5.05,36.9,0.1,0.26,0.13,1.45,0.03,11.1,11.4,11.0
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,25.8,46.7,34,1.47,12.9,4.76,36.9,0.1,0.28,0.18,1.71,0.06,13.5,7.21,10.5
