Key,Year,Competition,Squad,Age,Poss,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt,CrdY,CrdR,Fld,Int,TklW
2019-es La Liga-Celta Vigo,2019,es La Liga,Celta Vigo,25.5,51.7,1.37,11.5,4.13,35.8,0.1,0.29,0.18,2.08,0.16,14.8,7.16,10.5
2019-eng Premier League-Chelsea,2019,eng Premier League,Chelsea,27.3,62.8,1.61,15.8,5.0,31.6,0.09,0.29,0.13,1.29,0.0,13.7,11.9,11.1
2019-it Serie A-Chievo,2019,it Serie A,Chievo,28.3,43.1,0.66,10.2,2.95,28.9,0.05,0.19,0.16,2.89,0.18,13.3,9.53,12.1
2019-eng Premier League-Crystal Palace,2019,eng Premier League,Crystal Palace,27.4,45.0,1.26,12.8,3.5,27.3,0.08,0.29,0.29,1.53,0.05,12.4,14.3,12.0
2019-fr Ligue 1-Dijon,2019,fr Ligue 1,Dijon,27.1,47.9,0.76,11.9,3.68,31.0,0.06,0.19,0.11,1.97,0.18,12.3,8.08,11.6
2019-de Bundesliga-Dortmund,2019,de Bundesliga,Dortmund,24.8,58.0,2.35,13.1,5.24,40.1,0.17,0.43,0.12,1.18,0.09,13.1,8.56,10.2
2019-de Bundesliga-Düsseldorf,2019,de Bundesliga,Düsseldorf,26.9,43.1,1.41,11.9,4.56,38.3,0.11,0.28,0.21,1.97,0.03,12.7,9.41,11.5
2019-es La Liga-Eibar,2019,es La Liga,Eibar,28.5,54.1,1.21,13.7,4.05,29.7,0.08,0.25,0.21,2.13,0.05,12.1,7.79,11.8
2019-de Bundesliga-Eint Frankfurt,2019,de Bundesliga,Eint Frankfurt,26.4,47.3,1.76,11.8,4.29,36.3,0.14,0.38,0.12,1.71,0.09,10.9,9.24,11.4
2019-it Serie A-Empoli,2019,it Serie A,Empoli,26.4,47.9,1.26,11.9,3.74,31.3,0.1,0.31,0.18,1.92,0.08,13.5,7.11,9.79
2019-es La Liga-Espanyol,2019,es La Liga,Espanyol,27.7,49.5,1.16,12.2,4.03,33.0,0.09,0.26,0.11,2.37,0.05,15.6,8.87,11.7
2019-eng Premier League-Everton,2019,eng Premier League,Everton,25.7,51.5,1.39,12.9,4.18,32.3,0.1,0.32,0.13,1.47,0.11,12.9,17.2,12.1
2019-it Serie A-Fiorentina,2019,it Serie A,Fiorentina,24.1,50.7,1.18,15.2,4.61,30.3,0.07,0.23,0.16,2.34,0.13,14.6,8.58,10.6
2019-de Bundesliga-Freiburg,2019,de Bundesliga,Freiburg,25.8,44.2,1.29,12.2,4.5,37.0,0.09,0.25,0.18,1.59,0.09,13.0,8.26,9.38
2019-it Serie A-Frosinone,2019,it Serie A,Frosinone,26.4,41.1,0.74,11.5,3.16,27.5,0.06,0.2,0.13,2.61,0.05,15.1,8.97,10.1
2019-eng Premier League-Fulham,2019,eng Premier League,Fulham,26.0,48.6,0.87,11.7,3.55,30.4,0.07,0.23,0.08,1.84,0.05,10.2,17.2,10.7
2019-it Serie A-Genoa,2019,it Serie A,Genoa,26.0,43.1,0.97,13.8,3.95,28.5,0.06,0.22,0.13,2.5,0.18,13.8,9.0,12.4
2019-es La Liga-Getafe,2019,es La Liga,Getafe,27.5,40.8,1.24,10.1,3.24,31.9,0.11,0.33,0.16,2.82,0.18,14.9,9.05,11.0
2019-es La Liga-Girona,2019,es La Liga,Girona,26.6,48.0,0.97,10.4,3.68,35.5,0.08,0.22,0.16,2.13,0.11,16.3,9.26,9.71
2019-fr Ligue 1-Guingamp,2019,fr Ligue 1,Guingamp,26.0,43.9,0.74,11.0,2.92,26.6,0.06,0.21,0.16,1.53,0.13,12.8,7.95,13.1
2019-de Bundesliga-Hannover 96,2019,de Bundesliga,Hannover 96,26.3,46.3,0.88,11.2,3.32,29.7,0.07,0.24,0.09,1.79,0.12,13.1,8.74,10.8
2019-de Bundesliga-Hertha BSC,2019,de Bundesliga,Hertha BSC,25.9,48.1,1.44,11.6,4.24,36.5,0.11,0.31,0.12,1.88,0.15,11.9,8.68,10.1
2019-de Bundesliga-Hoffenheim,2019,de Bundesliga,Hoffenheim,25.5,53.6,2.03,17.5,6.29,35.9,0.11,0.29,0.21,1.97,0.06,12.0,9.0,10.2
2019-eng Premier League-Huddersfield,2019,eng Premier League,Huddersfield,26.2,47.0,0.53,10.5,3.03,28.8,0.05,0.17,0.03,1.47,0.11,10.9,16.7,11.4
2019-es La Liga-Huesca,2019,es La Liga,Huesca,26.7,44.7,1.13,12.4,3.68,29.8,0.08,0.26,0.18,2.97,0.08,13.0,9.68,12.7
2019-it Serie A-Inter,2019,it Serie A,Inter,27.7,59.6,1.5,16.2,4.87,30.0,0.08,0.26,0.24,1.92,0.08,14.5,7.13,10.6
2019-it Serie A-Juventus,2019,it Serie A,Juventus,28.0,56.2,1.74,15.8,5.08,32.2,0.1,0.31,0.21,2.0,0.11,13.9,8.66,10.1
2019-it Serie A-Lazio,2019,it Serie A,Lazio,27.9,50.8,1.42,16.1,4.97,30.9,0.08,0.25,0.16,2.34,0.11,11.7,9.66,11.4
2019-es La Liga-Leganés,2019,es La Liga,Leganés,26.6,42.8,0.95,10.7,3.37,31.4,0.08,0.26,0.13,2.74,0.11,12.0,8.58,11.0
2019-eng Premier League-Leicester City,2019,eng Premier League,Leicester City,25.9,51.1,1.26,13.3,4.55,34.1,0.08,0.25,0.18,1.58,0.13,12.1,13.1,11.4
2019-es La Liga-Levante,2019,es La Liga,Levante,26.3,45.6,1.47,11.2,3.97,35.5,0.12,0.34,0.18,2.82,0.18,15.1,7.95,9.92
2019-de Bundesliga-Leverkusen,2019,de Bundesliga,Leverkusen,25.3,59.9,2.0,15.1,5.53,36.7,0.13,0.34,0.15,1.47,0.03,12.5,8.62,10.9
2019-fr Ligue 1-Lille,2019,fr Ligue 1,Lille,24.1,51.5,1.74,12.8,4.79,37.4,0.11,0.3,0.34,1.84,0.11,14.5,7.03,11.4
2019-eng Premier League-Liverpool,2019,eng Premier League,Liverpool,26.1,61.7,2.26,15.1,5.68,37.7,0.14,0.37,0.18,1.03,0.05,10.9,11.9,9.97
2019-fr Ligue 1-Lyon,2019,fr Ligue 1,Lyon,24.4,60.8,1.84,17.5,6.42,36.7,0.1,0.27,0.26,1.45,0.08,13.4,8.29,10.2
2019-de Bundesliga-M'Gladbach,2019,de Bundesliga,M'Gladbach,26.5,53.1,1.56,12.9,4.29,33.2,0.11,0.34,0.21,1.26,0.0,11.3,7.68,9.47
2019-de Bundesliga-Mainz 05,2019,de Bundesliga,Mainz 05,24.2,46.1,1.29,14.2,4.26,30.0,0.08,0.28,0.09,1.65,0.0,11.4,8.41,8.82
2019-eng Premier League-Manchester City,2019,eng Premier League,Manchester City,26.7,67.8,2.39,17.8,6.66,37.3,0.13,0.35,0.11,1.16,0.03,9.82,11.1,9.5
2019-eng Premier League-Manchester Utd,2019,eng Premier League,Manchester Utd,26.3,54.5,1.71,13.6,5.53,40.7,0.11,0.27,0.32,1.97,0.11,12.4,11.9,10.2
2019-fr Ligue 1-Marseille,2019,fr Ligue 1,Marseille,26.9,55.5,1.55,14.0,4.42,31.6,0.1,0.33,0.13,2.16,0.21,12.9,7.13,11.7
2019-it Serie A-Milan,2019,it Serie A,Milan,24.8,54.2,1.37,15.3,5.0,32.8,0.08,0.26,0.11,2.11,0.13,14.3,7.53,11.9
2019-fr Ligue 1-Monaco,2019,fr Ligue 1,Monaco,25.6,49.8,1.0,12.5,3.97,31.8,0.07,0.23,0.13,2.39,0.16,14.1,7.76,11.9
2019-fr Ligue 1-Montpellier,2019,fr Ligue 1,Montpellier,28.0,47.8,1.32,13.1,4.42,33.7,0.09,0.28,0.08,1.58,0.11,13.1,8.42,11.2
2019-fr Ligue 1-Nantes,2019,fr Ligue 1,Nantes,25.9,50.1,1.24,13.7,3.76,27.4,0.08,0.29,0.21,1.89,0.16,13.6,9.08,12.7
2019-it Serie A-Napoli,2019,it Serie A,Napoli,27.0,59.4,1.92,18.5,6.16,33.3,0.1,0.3,0.11,1.89,0.13,12.6,6.89,11.7
2019-eng Premier League-Newcastle Utd,2019,eng Premier League,Newcastle Utd,26.9,40.4,1.08,11.6,3.61,31.1,0.09,0.29,0.08,1.5,0.05,10.1,15.1,11.3
2019-fr Ligue 1-Nice,2019,fr Ligue 1,Nice,24.2,55.6,0.71,11.8,3.34,28.4,0.05,0.17,0.24,1.89,0.13,14.5,8.55,10.1
2019-fr Ligue 1-Nîmes,2019,fr Ligue 1,Nîmes,24.1,45.4,1.45,13.7,4.61,33.7,0.1,0.29,0.16,1.82,0.13,13.4,7.29,12.2
2019-de Bundesliga-Nürnberg,2019,de Bundesliga,Nürnberg,24.9,42.3,0.74,10.2,3.0,29.5,0.07,0.23,0.18,1.71,0.12,12.2,8.53,10.7
2019-fr Ligue 1-Paris S-G,2019,fr Ligue 1,Paris S-G,26.2,64.1,2.71,14.7,5.26,35.8,0.17,0.47,0.32,1.68,0.11,12.6,6.55,11.1
2019-it Serie A-Parma,2019,it Serie A,Parma,29.4,37.3,1.05,9.29,2.82,30.3,0.1,0.34,0.13,2.16,0.08,12.2,8.26,9.63
2019-es La Liga-Rayo Vallecano,2019,es La Liga,Rayo Vallecano,26.6,48.7,1.05,11.7,3.79,32.3,0.08,0.24,0.13,2.66,0.21,14.3,8.58,11.2
2019-de Bundesliga-RB Leipzig,2019,de Bundesliga,RB Leipzig,24.0,49.3,1.85,14.3,5.06,35.3,0.12,0.34,0.21,1.79,0.03,12.9,9.44,11.6
2019-es La Liga-Real Madrid,2019,es La Liga,Real Madrid,27.1,60.0,1.61,15.2,5.32,34.9,0.09,0.26,0.24,2.08,0.16,17.0,8.47,11.0
2019-es La Liga-Real Sociedad,2019,es La Liga,Real Sociedad,24.9,51.6,1.16,10.9,3.45,31.7,0.09,0.27,0.26,2.11,0.11,16.6,8.71,10.5
2019-fr Ligue 1-Reims,2019,fr Ligue 1,Reims,26.2,43.3,1.03,10.8,3.58,33.0,0.09,0.27,0.05,1.76,0.05,12.9,9.05,11.9
2019-fr Ligue 1-Rennes,2019,fr Ligue 1,Rennes,25.7,50.7,1.39,12.4,3.89,31.4,0.1,0.31,0.26,1.79,0.08,13.2,7.5,9.95
2019-it Serie A-Roma,2019,it Serie A,Roma,27.5,51.7,1.74,16.4,5.58,34.0,0.1,0.28,0.16,2.32,0.05,11.9,8.55,9.24
2019-fr Ligue 1-Saint-Étienne,2019,fr Ligue 1,Saint-Étienne,27.8,52.7,1.47,13.1,4.26,32.5,0.1,0.31,0.13,1.66,0.18,12.7,8.0,11.2
2019-it Serie A-Sampdoria,2019,it Serie A,Sampdoria,26.1,55.3,1.58,12.6,4.42,35.1,0.1,0.3,0.32,2.34,0.08,14.8,5.89,10.8
2019-it Serie A-Sassuolo,2019,it Serie A,Sassuolo,25.4,54.0,1.32,13.3,3.95,29.6,0.09,0.3,0.13,2.29,0.21,15.3,7.87,9.95
2019-de Bundesliga-Schalke 04,2019,de Bundesliga,Schalke 04,25.8,45.4,1.09,12.0,3.56,29.7,0.07,0.25,0.26,2.12,0.15,13.1,8.38,11.3
2019-es La Liga-Sevilla,2019,es La Liga,Sevilla,27.9,52.2,1.61,13.6,4.47,32.9,0.11,0.33,0.16,3.0,0.16,14.2,7.79,11.1
2019-eng Premier League-Southampton,2019,eng Premier League,Southampton,25.4,43.9,1.16,12.8,4.11,32.1,0.08,0.26,0.13,1.92,0.08,10.2,15.8,11.4
2019-it Serie A-SPAL,2019,it Serie A,SPAL,27.8,50.6,1.16,12.0,3.37,28.0,0.08,0.29,0.21,2.95,0.08,15.5,8.39,10.2
2019-fr Ligue 1-Strasbourg,2019,fr Ligue 1,Strasbourg,26.2,50.2,1.5,10.5,3.82,36.4,0.13,0.36,0.18,1.84,0.11,11.4,9.13,10.1
2019-de Bundesliga-Stuttgart,2019,de Bundesliga,Stuttgart,26.3,45.9,0.94,11.9,3.47,29.2,0.08,0.26,0.03,1.88,0.15,12.5,8.47,11.2
2019-it Serie A-Torino,2019,it Serie A,Torino,27.6,51.4,1.32,13.7,4.55,33.3,0.09,0.26,0.16,2.32,0.11,16.7,10.2,12.3
2019-eng Premier League-Tottenham,2019,eng Premier League,Tottenham,26.8,58.9,1.74,14.1,4.92,34.8,0.12,0.33,0.11,1.5,0.08,11.5,12.1,10.7
2019-fr Ligue 1-Toulouse,2019,fr Ligue 1,Toulouse,25.5,48.3,0.92,11.1,3.11,28.0,0.07,0.24,0.29,1.97,0.13,13.0,7.89,12.1
2019-it Serie A-Udinese,2019,it Serie A,Udinese,25.3,42.4,1.0,12.1,3.11,25.6,0.08,0.3,0.21,2.37,0.11,13.6,9.03,11.2
2019-es La Liga-Valencia,2019,es La Liga,Valencia,26.4,47.1,1.32,12.2,4.05,33.2,0.1,0.29,0.18,2.32,0.08,15.5,9.39,10.0
2019-es La Liga-Valladolid,2019,es La Liga,Valladolid,27.4,47.0,0.82,10.7,3.37,31.4,0.07,0.21,0.18,2.42,0.0,15.2,8.34,11.9
2019-es La Liga-Villarreal,2019,es La Liga,Villarreal,27.1,48.3,1.24,12.7,4.37,34.5,0.09,0.27,0.16,3.03,0.08,12.5,7.95,11.2
2019-eng Premier League-Watford,2019,eng Premier League,Watford,28.5,47.1,1.34,11.4,3.87,33.9,0.12,0.34,0.03,2.08,0.11,11.4,13.7,11.4
2019-de Bundesliga-Werder Bremen,2019,de Bundesliga,Werder Bremen,27.1,52.2,1.68,13.3,5.03,37.7,0.12,0.31,0.12,1.79,0.09,11.6,8.97,9.91
2019-eng Premier League-West Ham,2019,eng Premier League,West Ham,27.6,48.7,1.34,11.5,3.89,33.8,0.11,0.31,0.13,1.55,0.03,11.9,15.5,11.9
2019-de Bundesliga-Wolfsburg,2019,de Bundesliga,Wolfsburg,25.4,53.3,1.74,12.0,4.62,38.4,0.13,0.34,0.15,1.82,0.0,14.2,8.56,11.7
2019-eng Premier League-Wolves,2019,eng Premier League,Wolves,26.1,46.9,1.21,12.4,3.68,29.7,0.09,0.3,0.11,1.92,0.03,9.71,13.1,11.1
