Key,Year,Competition,Squad,Age,Poss,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,PKatt,CrdY,CrdR,Fld,Int,TklW
2021-es La Liga-Levante,2021,es La Liga,Levante,28.0,52.4,1.18,10.0,3.29,32.8,0.11,0.34,0.16,1.79,0.03,12.1,11.7,9.68
2021-de Bundesliga-Leverkusen,2021,de Bundesliga,Leverkusen,25.4,59.9,1.53,13.1,4.97,37.8,0.11,0.29,0.09,1.71,0.0,11.3,11.1,10.1
2021-fr Ligue 1-Lille,2021,fr Ligue 1,Lille,25.4,53.9,1.63,12.7,4.58,36.2,0.12,0.33,0.13,1.79,0.05,13.1,10.8,11.9
2021-eng Premier League-Liverpool,2021,eng Premier League,Liverpool,26.8,62.4,1.71,15.8,5.29,33.5,0.1,0.29,0.16,1.05,0.0,11.0,10.1,9.42
2021-fr Ligue 1-Lorient,2021,fr Ligue 1,Lorient,26.8,44.6,1.26,11.1,3.5,31.6,0.09,0.29,0.26,1.82,0.08,13.3,12.7,12.7
2021-fr Ligue 1-Lyon,2021,fr Ligue 1,Lyon,25.8,54.9,2.0,15.9,5.84,36.8,0.11,0.29,0.29,1.74,0.26,13.2,10.6,11.8
2021-de Bundesliga-M'Gladbach,2021,de Bundesliga,M'Gladbach,26.9,51.9,1.85,13.0,4.79,37.0,0.12,0.33,0.32,1.79,0.06,14.0,13.4,10.2
2021-de Bundesliga-Mainz 05,2021,de Bundesliga,Mainz 05,25.8,40.5,1.15,11.0,3.88,35.3,0.09,0.26,0.15,1.85,0.03,12.1,13.4,11.9
2021-eng Premier League-Manchester City,2021,eng Premier League,Manchester City,26.1,63.9,2.16,15.5,5.61,36.1,0.13,0.36,0.24,1.21,0.05,12.3,8.92,9.61
2021-eng Premier League-Manchester Utd,2021,eng Premier League,Manchester Utd,25.6,55.8,1.84,13.6,5.18,38.1,0.12,0.3,0.29,1.68,0.03,13.6,12.0,9.76
2021-fr Ligue 1-Marseille,2021,fr Ligue 1,Marseille,27.2,53.9,1.39,9.82,3.45,35.1,0.13,0.37,0.18,2.58,0.24,13.8,11.2,12.3
