Date,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
2008-06-12,Austria , Poland,1,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
2008-06-16,Poland , Croatia,0,1,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
2008-06-16,Austria , Germany,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
2008-06-09,Romania , France,0,0,Group C,,Letzigrund, Zürich,30585,2008
2008-06-09,Netherlands , Italy,3,0,Group C,,Stade de Suisse, Bern,30777,2008
2008-06-13,Italy , Romania,1,1,Group C,,Letzigrund, Zürich,30585,2008
2008-06-13,Netherlands , France,4,1,Group C,,Stade de Suisse, Bern,30777,2008
2008-06-17,Netherlands , Romania,2,0,Group C,,Stade de Suisse, Bern,30777,2008
2008-06-17,France , Italy,0,2,Group C,,Letzigrund, Zürich,30585,2008
2008-06-10,Spain , Russia,4,1,Group D,,Tivoli-Neu, Innsbruck,30772,2008
2008-06-10,Greece , Sweden,0,2,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
2008-06-14,Sweden , Spain,1,2,Group D,,Tivoli-Neu, Innsbruck,30772,2008
2008-06-14,Greece , Russia,0,1,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
2008-06-18,Greece , Spain,1,2,Group D,,Stadion Wals-Siezenheim, Salzburg,30883,2008
2008-06-18,Russia , Sweden,2,0,Group D,,Tivoli-Neu, Innsbruck,30772,2008
2008-06-19,Portugal , Germany,2,3,Quarter-finals,,St. Jakob-Park, Basel,39374,2008
2008-06-20,Croatia , Turkey,1,1,Quarter-finals, Turkey win on Penalities 1–3,Ernst-Happel-Stadion, Vienna,51428,2008
2008-06-21,Netherlands , Russia,1,3,Quarter-finals, Russia win after extra time ,St. Jakob-Park, Basel,38374,2008
2008-06-22,Spain , Italy,0,0,Quarter-finals,Spain  win on Penalities 4–2,Ernst-Happel-Stadion, Vienna,51178,2008
2008-06-25,Germany , Turkey,3,2,Semi-finals,,St. Jakob-Park, Basel,39374,2008
2008-06-26,Russia , Spain,0,3,Semi-finals,,Ernst-Happel-Stadion, Vienna,51428,2008
2008-06-29,Germany , Spain,0,1,Final,,Ernst-Happel-Stadion, Vienna,51428,2008
2012-06-08,Poland , Greece,1,1,Group A,,National Stadium, Warsaw,56070,2012
2012-06-08,Russia , Czech Republic,4,1,Group A,,Stadion Miejski, Wrocław,40803,2012
2012-06-12,Greece , Czech Republic,1,2,Group A,,Stadion Miejski, Wrocław,41105,2012
2012-06-12,Poland , Russia,1,1,Group A,,National Stadium, Warsaw,55920,2012
2012-06-16,Czech Republic , Poland,1,0,Group A,,Stadion Miejski, Wrocław,41480,2012
2012-06-16,Greece , Russia,1,0,Group A,,National Stadium, Warsaw,55614,2012
2012-06-09,Netherlands , Denmark,0,1,Group B,,Metalist Stadium, Kharkiv,35923,2012
2012-06-09,Germany , Portugal,1,0,Group B,,Arena Lviv, Lviv,32990,2012
2012-06-13,Denmark , Portugal,2,3,Group B,,Arena Lviv, Lviv,31840,2012
2012-06-13,Netherlands , Germany,1,2,Group B,,Metalist Stadium, Kharkiv,37750,2012
2012-06-17,Portugal , Netherlands,2,1,Group B,,Metalist Stadium, Kharkiv,37445,2012
2012-06-17,Denmark , Germany,1,2,Group B,,Arena Lviv, Lviv,32990,2012
2012-06-10,Spain , Italy,1,1,Group C,,PGE Arena, Gdańsk,38869,2012
2012-06-10,Republic of Ireland , Croatia,1,3,Group C,,Stadion Miejski, Poznań,39550,2012
2012-06-14,Italy , Croatia,1,1,Group C,,Stadion Miejski, Poznań,37096,2012
2012-06-14,Spain , Republic of Ireland,4,0,Group C,,PGE Arena, Gdańsk,39150,2012
2012-06-18,Croatia , Spain,0,1,Group C,,PGE Arena, Gdańsk,39076,2012
2012-06-18,Italy , Republic of Ireland,2,0,Group C,,Stadion Miejski, Poznań,38794,2012
2012-06-11,France , England,1,1,Group D,,Donbass Arena, Donetsk,47400,2012
2012-06-11,Ukraine , Sweden,2,1,Group D,,Olympic Stadium, Kiev,64290,2012
2012-06-15,Ukraine , France,0,2,Group D,,Donbass Arena, Donetsk,48000,2012
2012-06-15,Sweden , England,2,3,Group D,,Olympic Stadium, Kiev,64640,2012
2012-06-19,England , Ukraine,1,0,Group D,,Donbass Arena, Donetsk,48700,2012
2012-06-19,Sweden , France,2,0,Group D,,Olympic Stadium, Kiev,63010,2012
2012-06-21,Czech Republic , Portugal,0,1,Quarter-finals,,National Stadium, Warsaw,55590,2012
2012-06-22,Germany , Greece,4,2,Quarter-finals,,PGE Arena, Gdańsk,38751,2012
2012-06-23,Spain , France,2,0,Quarter-finals,,Donbass Arena, Donetsk,47000,2012
2012-06-24,England , Italy,0,0,Quarter-finals, Italy win on Penalities 2–4,Olympic Stadium, Kiev,64340,2012
2012-06-27,Portugal , Spain,0,0,Semi-finals, Spain win on Penalities 2–4,Donbass Arena, Donetsk,48000,2012
2012-06-28,Germany , Italy,1,2,Semi-finals,,National Stadium, Warsaw,55540,2012
2012-07-01,Spain , Italy,4,0,Final,,Olympic Stadium, Kiev,63170,2012
2016-06-10,France , Romania,2,1,Group A,,Stade de France, Saint-Denis,75113,2016
2016-06-11,Albania ,  Switzerland,0,1,Group A,,Stade Bollaert-Delelis, Lens,33805,2016
2016-06-15,Romania ,  Switzerland,1,1,Group A,,Parc des Princes, Paris,43576,2016
2016-06-15,France , Albania,2,0,Group A,,Stade Vélodrome, Marseille,63670,2016
2016-06-19,Romania , Albania,0,1,Group A,,Parc Olympique Lyonnais, Décines-Charpieu,49752,2016
2016-06-19,Switzerland  , France,0,0,Group A,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45616,2016
2016-06-11,Wales , Slovakia,2,1,Group B,,Nouveau Stade de Bordeaux, Bordeaux,37831,2016
2016-06-11,England , Russia,1,1,Group B,,Stade Vélodrome, Marseille,62343,2016
2016-06-15,Russia , Slovakia,1,2,Group B,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,38989,2016
2016-06-16,England , Wales,2,1,Group B,,Stade Bollaert-Delelis, Lens,34033,2016
2016-06-20,Russia , Wales,0,3,Group B,,Stadium Municipal, Toulouse,28840,2016
2016-06-20,Slovakia , England,0,0,Group B,,Stade Geoffroy-Guichard, Saint-Étienne,39051,2016
